,Month,ID,Acousticness,Danceability,Duration Ms,Energy,Instrumentalness,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
115,1,7eBqSVxrzQZtK2mmgRG6lC,0.145,0.759,268434,0.73,3.06E-06,0.11,-7.985,0,0.0516,115.007,4,0.74
116,1,6uFn47ACjqYkc0jADwEdj1,0.15,0.772,166560,0.639,0,0.0698,-7.119,1,0.467,168.112,4,0.261
117,1,5awaEIMiJboRO7ycF6UOot,0.00119,0.904,223275,0.492,0.364,0.125,-9.657,1,0.155,149.982,4,0.257
118,1,5hVghJ4KaYES3BFUATCYn0,0.23,0.554,190067,0.498,5.98E-06,0.795,-8.866,1,0.0685,79.635,4,0.413
119,1,7m9OqQk4RVRkw9JJdeAw96,0.469,0.872,119133,0.391,4.13E-06,0.297,-9.144,0,0.242,134.021,4,0.437
120,1,6v3KW9xbzN5yKLt9YKDYA2,0.0392,0.759,190800,0.548,0,0.0828,-6.049,0,0.029,116.967,4,0.749
121,1,5a6pdCHlWS2ekOOQ70QnAr,0.868,0.708,156107,0.186,0,0.0779,-8.953,0,0.0422,72.541,4,0.321
122,1,0RLLvYBopDwooCyvnTwgYu,0.354,0.567,224000,0.515,0,0.078,-10.265,0,0.247,120.1,1,0.321
123,1,7hpJ9tATWb2vztlq99hERP,0.00122,0.623,185787,0.647,0,0.354,-5.438,1,0.04,107.987,4,0.522
124,1,7iHHxY2NLlJRAmlAmC4ahQ,0.484,0.748,123560,0.648,0,0.126,-6.445,0,0.0816,139.952,4,0.726
125,1,5px6upUHM3fhOP621Edp4V,0.0137,0.647,193829,0.844,0.000658,0.102,-3.756,1,0.0457,146.962,4,0.746
126,1,08dFHFTx6r67MTsYn5ilDR,0.677,0.706,186240,0.358,0,0.107,-8.331,1,0.0348,75.991,4,0.478
127,1,4l0Mvzj72xxOpRrp6h8nHi,0.556,0.488,206459,0.343,0,0.21,-8.985,1,0.0436,102.819,4,0.0978
128,1,4sWuPniHClkInYAnzXAYUF,0.0849,0.787,148759,0.713,0,0.717,-5.252,1,0.401,175.046,4,0.761
129,1,2XEsbmynS9dLSzNSuZzfXF,0.0389,0.902,162791,0.85,0,0.0838,-6.39,1,0.358,120.132,5,0.556
130,1,79s5XnCN4TJKTVMSmOx8Ep,0.212,0.548,216387,0.805,0.000389,0.408,-5.732,1,0.351,142.094,4,0.648
131,1,2xLMifQCjDGFmkHkpNLD9h,0.00513,0.834,312820,0.73,0,0.124,-3.714,1,0.222,155.008,4,0.446
132,1,4dZTZbmJBCCofAExHwefda,0.0145,0.915,170947,0.556,0.000179,0.0733,-8.601,1,0.216,148.964,4,0.67
133,1,6foY66mWZN0pSRjZ408c00,0.369,0.614,234347,0.68,1.84E-06,0.115,-4.58,1,0.0289,149.959,4,0.707
134,1,0e7ipj03S05BNilyu5bRzt,0.124,0.585,218147,0.52,7.01E-05,0.131,-6.136,0,0.0712,159.801,4,0.129
135,1,1wJRveJZLSb1rjhnUHQiv6,0.0153,0.581,189487,0.662,0,0.111,-5.239,1,0.303,93.023,4,0.434
136,1,3cqPu20DGTGUoZtbJH2Dmi,0.63,0.605,193668,0.365,6.83E-06,0.0554,-11.144,1,0.111,84.628,4,0.224
137,1,3ee8Jmje8o58CHK66QrVC2,0.258,0.74,166606,0.613,0.00372,0.123,-4.88,1,0.145,75.023,4,0.473
138,1,75ZvA4QfFiZvzhj2xkaWAh,0.0689,0.556,223347,0.538,0,0.196,-5.408,0,0.0382,143.95,4,0.291
139,1,6kls8cSlUyHW2BUOkDJIZE,0.108,0.657,186223,0.768,0,0.144,-4.628,1,0.0507,75.025,4,0.759
140,1,3IB5qOeMayvpOdHxYCL5tZ,0.137,0.591,246816,0.848,0,0.372,-4.397,0,0.0828,105.922,4,0.386
141,1,2rxQMGVafnNaRaXlRMWPde,0.676,0.551,193200,0.402,0,0.0928,-7.431,1,0.0262,103.313,4,0.382
142,1,7A20WnLkjtZU2d7hIB6Ziu,0.077,0.886,158692,0.479,0,0.135,-8.054,0,0.334,130.029,4,0.408
143,1,7GX5flRQZVHRAGd6B4TmDO,0.00264,0.732,182707,0.75,0,0.109,-6.366,0,0.231,155.096,4,0.401
144,1,7CZyCXKG6d5ALeq41sLzbw,0.0906,0.499,229573,0.8,0,0.147,-2.665,0,0.0502,139.919,4,0.272
145,1,2TH65lNHgvLxCKXM3apjxI,0.6,0.61,250534,0.624,2.12E-06,0.243,-4.773,1,0.309,176.169,4,0.244
146,1,3s4mrPrEFFPF0LmAfutW0n,0.0249,0.784,200187,0.517,1.44E-06,0.155,-8.981,0,0.209,97.991,4,0.206
147,1,5ixKkLQSriCQakDWbdW8qD,0.326,0.562,176540,0.604,0,0.416,-7.498,0,0.197,83.355,4,0.562
148,1,3XiNC94b4Tq1xwv70sQJGN,0.0948,0.729,243976,0.603,0,0.113,-6.736,0,0.0666,134.972,4,0.207
149,1,4EivmOT13NMpNSfTKn9p4s,0.24,0.879,163173,0.499,0,0.0967,-6.027,0,0.18,106.043,4,0.405
